ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7519936,HS314836,05/18/2010 11:10:00 PM,0000X W TERMINAL ST,0560,ASSAULT,SIMPLE,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,false,false,1651,016,41,76,08A,1100317,1935229,2010,02/04/2016 06:33:39 AM,41.979006297,-87.906463155,"(41.979006297, -87.906463155)"
7519937,HS323451,05/23/2010 09:00:00 PM,015XX W FULLERTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,1811,018,32,7,14,1165679,1916028,2010,02/04/2016 06:33:39 AM,41.925172429,-87.666637578,"(41.925172429, -87.666637578)"
7519938,HS323463,05/21/2010 06:00:00 PM,003XX W ILLINOIS ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,1831,018,42,8,06,1173574,1903540,2010,02/04/2016 06:33:39 AM,41.890732628,-87.637999874,"(41.890732628, -87.637999874)"
7519939,HS323462,05/21/2010 07:00:00 PM,027XX N SHEFFIELD AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1933,019,32,7,06,1169149,1918348,2010,02/04/2016 06:33:39 AM,41.931463882,-87.653819694,"(41.931463882, -87.653819694)"
7519941,HS323331,05/23/2010 11:00:00 PM,067XX S KARLOV AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0833,008,13,65,05,1150197,1859588,2010,02/04/2016 06:33:39 AM,41.770610189,-87.724995016,"(41.770610189, -87.724995016)"
7519942,HS249179,04/09/2010 11:00:04 AM,064XX S STEWART AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE,true,false,0722,007,20,68,18,1174732,1862250,2010,02/04/2016 06:33:39 AM,41.7774036,-87.634979951,"(41.7774036, -87.634979951)"
7519944,HS323340,05/24/2010 12:01:00 AM,116XX S RACINE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,true,false,0524,005,34,53,26,1170420,1827589,2010,02/04/2016 06:33:39 AM,41.682383864,-87.651793817,"(41.682383864, -87.651793817)"
7519945,HS323339,05/23/2010 09:00:00 PM,019XX W WILSON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1922,019,47,4,06,1162426,1930556,2010,02/04/2016 06:33:39 AM,41.965106841,-87.678182567,"(41.965106841, -87.678182567)"
7519948,HS323437,05/24/2010 09:00:00 AM,056XX W CORCORAN PL,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1512,015,29,25,26,1138861,1902003,2010,02/04/2016 06:33:39 AM,41.887216061,-87.765521526,"(41.887216061, -87.765521526)"
7519950,HS317031,05/01/2010 01:00:00 AM,093XX S BURNSIDE AVE,0610,BURGLARY,FORCIBLE ENTRY,OTHER RAILROAD PROP / TRAIN DEPOT,false,false,0633,006,9,49,05,1181963,1842970,2010,02/04/2016 06:33:39 AM,41.724333,-87.609066325,"(41.724333, -87.609066325)"
